,AR,CER,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,countries,duration,perason_rho,sharpe,time
0,0.9882335413560196,0.8883885193834072,0.0,0.0,0.0,JPN USA,10,-0.008975399272038621,-0.2371184403894981,1985
1,0.9911461581943376,0.8751317888781139,1.0,1.0,1.0,JPN USA,15,-0.0059651679028798745,-0.2116388914884636,1985
2,0.9978016698617486,0.9569396030214636,2.0,2.0,2.0,JPN USA,20,0.10780253382356236,-0.032327516023258736,1985
3,0.9974487240952392,0.9747815712375734,3.0,3.0,3.0,JPN USA,10,0.04821589740970299,-0.10170746910360746,1990
4,1.0081171448432826,1.1289310411750564,4.0,4.0,4.0,JPN USA,15,0.2372642225614989,0.10849490135729108,1990
5,1.0071785082869642,1.153795922465075,5.0,5.0,5.0,JPN USA,20,0.4225039879425331,0.07678616765842877,1990
6,1.001840220231618,1.0185579045238615,6.0,6.0,6.0,JPN USA,10,0.07073867718723602,0.03365230491879208,1995
7,0.9976163108560792,0.9648335753447486,7.0,7.0,7.0,JPN USA,15,0.12599584347111278,-0.04039183848832024,1995
8,1.0001156029885183,1.0023146007021295,8.0,8.0,8.0,JPN USA,20,0.26181764640634725,0.004476902397441614,1995
9,1.0073766260059631,1.076274540781827,9.0,9.0,9.0,JPN USA,10,0.521254759162571,0.07522883893965844,2000
10,1.0074685559136587,1.1180847289690832,10.0,10.0,10.0,JPN USA,15,0.5312025840590073,0.07960159552840748,2000
11,1.0039637288826448,1.0823318999659235,11.0,11.0,11.0,JPN USA,20,0.4367199843484197,0.0478964162496483,2000
12,0.9985753016168084,0.9858459335321992,12.0,12.0,12.0,JPN USA,10,0.4126652341744563,-0.016859111562737637,2005
13,0.9968874627013836,0.9543216848131107,13.0,13.0,13.0,JPN USA,15,0.27030414590744584,-0.04442009895205039,2005
14,0.989317769160546,0.8981822746445741,14.0,14.0,14.0,JPN USA,10,-0.11063909954813177,-0.17553415767928282,2010
15,0.9767741548246662,0.7905977404762272,15.0,0.0,,CAN USA,10,-0.07681004337465919,-0.2324044494515591,1985
16,0.9777014318202041,0.7130399751067019,16.0,1.0,,CAN USA,15,-0.11068682862644053,-0.2423077708848667,1985
17,0.9797876066556688,0.6647201365665579,17.0,2.0,,CAN USA,20,-0.14949696316004046,-0.22000508631439847,1985
18,0.9783414556798264,0.8033736487781274,18.0,3.0,,CAN USA,10,-0.1227296473625834,-0.282152804624558,1990
19,0.9809116319364436,0.7489322621075467,19.0,4.0,,CAN USA,15,-0.1802203067790934,-0.2332095756495773,1990
20,0.9821904227682372,0.6980939932917802,20.0,5.0,,CAN USA,20,-0.007934039991757985,-0.1940322921452752,1990
21,0.9810549969272536,0.8258899292436942,21.0,6.0,,CAN USA,10,-0.2579384548150538,-0.22536847831204346,1995
22,0.9827127280896841,0.7698276972375964,22.0,7.0,,CAN USA,15,-0.011874786647981764,-0.1795840258182355,1995
23,0.9841702910042508,0.7267834318182942,23.0,8.0,,CAN USA,20,-0.008411209758465613,-0.17408013101984546,1995
24,0.99139175249888,0.9171658516150688,24.0,9.0,,CAN USA,10,0.11881027100944835,-0.08692795460072295,2000
25,0.9904460273971164,0.8658832977499609,25.0,10.0,,CAN USA,15,0.08699228689487275,-0.10548339646369634,2000
26,0.991808145083646,0.8483077038397482,26.0,11.0,,CAN USA,20,0.04741959839936877,-0.09923740141632964,2000
27,0.9920151434642668,0.9229704245797188,27.0,12.0,,CAN USA,10,0.2194192372394088,-0.0833889790931736,2005
28,0.9933105691299964,0.904236083109335,28.0,13.0,,CAN USA,15,0.1437636049147413,-0.0801585603852221,2005
29,0.9952699703671068,0.9537000921060655,29.0,14.0,,CAN USA,10,-0.3001165763995297,-0.09202824070765676,2010
30,1.02397507076399,1.2673009222205511,0.0,,,ESP USA,10,0.0185316160877041,0.1919392466184992,1985
31,1.0091497244495824,1.1463730480445724,1.0,,,ESP USA,15,-0.03259004364186098,0.0824573541632443,1985
32,1.0101263146287778,1.223245705491249,2.0,,,ESP USA,20,-0.049151192100781914,0.09909310864016453,1985
33,1.0199984161829525,1.2189424507091329,3.0,,,ESP USA,10,-0.17808621710625633,0.1554465877000556,1990
34,1.017679551824079,1.3006814148451191,4.0,,,ESP USA,15,-0.16515954967870486,0.15880872098624174,1990
35,1.0135790930243656,1.3096428508782438,5.0,,,ESP USA,20,0.11927915653113827,0.11006663389743912,1990
36,0.9976530657424212,0.9767738351872632,6.0,,,ESP USA,10,-0.014747128102275178,-0.024367852463837658,1995
37,0.9988917339747412,0.9835036124739664,7.0,,,ESP USA,15,0.3039243882693636,-0.004614230599226497,1995
38,1.0185482501454883,1.444215959720924,8.0,,,ESP USA,20,0.14172655426876415,0.12731261248811065,1995
39,1.003635802480405,1.0369638385171318,9.0,,,ESP USA,10,0.3355624512093672,0.033580659938639484,2000
40,1.0284284855952412,1.5227190894324794,10.0,,,ESP USA,15,0.1267801932771479,0.1762448094874949,2000
41,1.0252195283420298,1.6456497203430969,11.0,,,ESP USA,20,0.05589505234990881,0.16584806318707587,2000
42,1.0384804670277676,1.4586828406750856,12.0,,,ESP USA,10,0.19584670666779386,0.20206840153512776,2005
43,1.0308141459330251,1.576443761351212,13.0,,,ESP USA,15,0.09731581379522199,0.1811251369179599,2005
44,1.0244920440277734,1.273712807306432,14.0,,,ESP USA,10,-0.1851983053213504,0.16712191802602094,2010
0,0.9834891647701306,0.8466534724568004,,,,DEU USA,10,0.1504712716654861,-0.19998274525474344,1985
